1,adler,advac triple aviar  20 ml,10,22.55555556,58,25.77777778,1,1
2,adler,advac triple aviar  50 ml,10,32.27777778,83,36.88888889,1,1
3,adler,advac triple aviar  100 ml,10,41.61111111,107,47.55555556,1,1
4,adler,advac triple aviar curativa 20 ml,10,31.11111111,80,35.55555556,1,1
5,adler,advac triple aviar curativa 50 ml,10,45.88888889,118,52.44444444,1,1
6,adler,advac triple aviar curativa 100 ml,10,65.33333333,168,74.66666667,1,1
7,adler,advac new castle 25 ds,10,23.33333333,60,26.66666667,1,1
8,adler,advac new castle 50 ds,10,26.05555556,67,29.77777778,1,1
9,adler,advac new castle 100 ds,10,29.94444444,77,34.22222222,1,1
10,adler,advac viruela 50 ds,10,30.72222222,79,35.11111111,1,1
11,adler,advac viruela 100 ds,10,35.38888889,91,40.44444444,1,1
12,adler,adecto forte pasta,10,80.11111111,206,91.55555556,1,1
13,adler,11 vias 50,10,130.2777778,335,148.8888889,1,1
14,adler,11 vias 100,10,221.6666667,570,253.3333333,1,1
15,adler,11 vias 250,10,392.7777778,1010,448.8888889,1,1
16,adler,contrac 10 ml,10,24.88888889,64,28.44444444,1,1
17,adler,proteleer complex 20 ml,10,22.55555556,58,25.77777778,1,1
18,adler,proteleer complex 100 ml,10,82.83333333,213,94.66666667,1,1
19,adler,proteler complex 250 ml,10,147,378,168,1,1
20,adler,proteler 20 ml,10,21.77777778,56,24.88888889,1,1
21,adler,proteleer 100 ml,10,78.55555556,202,89.77777778,1,1
22,adler,estrepto leer forte dex,10,58.72222222,151,67.11111111,1,1
23,adler,estrepto extra f 2 mll,10,40.05555556,103,45.77777778,1,1
24,adler,estrepto extra f 4,10,53.27777778,137,60.88888889,1,1
25,adler,estrepto extra f 6 ml,10,61.05555556,157,69.77777778,1,1
26,adler,adeler 100 ml,10,126.3888889,325,144.4444444,1,1
27,adler,adeler 500 ml,10,403.2777778,1037,460.8888889,1,1
28,adler,kaomol 60 ml,10,30.33333333,78,34.66666667,1,1
29,adler,flohsin jabon 50 gr,10,403.2777778,1037,460.8888889,1,1
30,adler,flohsin jabon 100 gr,10,30.33333333,78,34.66666667,1,1
31,adler,arsiler 100 ml,10,96.05555556,247,109.7777778,1,1
